system:index,TCB,blue,green,ndvi,nir,presence,red,swir1,swir2,.geo
178_0,0.2871207732215524,0.09828418,0.08857476,0.062619075,0.11313228,1.0,0.09979874,0.27819237,0.100853525,
184_0,0.29452114107757804,0.09820304,0.08795271,0.062440433,0.12056986,1.0,0.1063979,0.2834663,0.09265867,
176_0,0.2779082309022546,0.10307127,0.09319958,0.0626777,0.10615449,1.0,0.09363231,0.254311,0.11283478,
177_0,0.3017266099147499,0.10355809,0.09590416,0.071539484,0.12132714,1.0,0.105126746,0.2764344,0.11553936,
174_0,0.3014932999417186,0.1050997,0.09668848,0.071290456,0.119893715,1.0,0.10393674,0.27675894,0.11773006,
173_0,0.2882892241485417,0.099879876,0.08968364,0.03075127,0.10742564,1.0,0.1010158,0.2843588,0.1054513,
185_0,0.27952874208837747,0.100069195,0.08992705,0.060112122,0.10994089,1.0,0.09747281,0.25723195,0.10582994,
175_0,0.27034009026512507,0.10139444,0.0914957,0.0557314,0.10374742,1.0,0.0927939,0.25225553,0.09533619,
136_0,0.1993539136197418,0.08735771,0.071400724,-0.18367353,0.043273162,1.0,0.06274609,0.26894274,0.036024906,
137_0,0.22276683531701566,0.08660042,0.07050821,-0.17652334,0.049710046,1.0,0.071022086,0.3165162,0.039540853,
139_0,0.2013624103561044,0.08757407,0.07107618,-0.18042515,0.044841815,1.0,0.0645852,0.2666168,0.039973583,
138_0,0.21335997093543413,0.087195426,0.07177936,-0.14973263,0.047302976,1.0,0.063963145,0.29658347,0.045842506,
140_0,0.2012829783450812,0.08681679,0.070481166,-0.1657531,0.04321907,1.0,0.06039311,0.27770555,0.040433362,
158_0,0.2414819352246821,0.09228003,0.07805397,-0.006340551,0.0890075,1.0,0.09014341,0.24032836,0.06166426,
135_0,0.21004665415026247,0.08908863,0.07507894,-0.081625044,0.066640675,1.0,0.0784867,0.20890121,0.059716966,
134_0,0.21350520638786258,0.09203661,0.07743192,-0.07422679,0.06071766,1.0,0.07045412,0.2343783,0.06734386,
141_0,0.23352065617144108,0.08998114,0.07686396,-0.07987901,0.069940254,1.0,0.082083784,0.27097118,0.056579664,
133_0,0.18329498307667674,0.09033273,0.076214865,-0.058746714,0.05849991,1.0,0.065802254,0.17079379,0.042813387,
265_0,0.2210597463838756,0.10253036,0.09100888,0.015803607,0.081705146,0.0,0.07916285,0.12016418,0.14804833,
142_0,0.1884807069323957,0.08692497,0.07012957,-0.13915695,0.045842506,1.0,0.060663566,0.22913142,0.044084534,
131_0,0.1882022080834955,0.08760112,0.072076865,-0.061311677,0.059419464,1.0,0.06718159,0.18745396,0.04581546,
132_0,0.2384702985547483,0.093415946,0.080055356,0.009464812,0.079325125,1.0,0.07783761,0.22564252,0.11754074,
126_0,0.1928792439825833,0.08908863,0.07332097,-0.06612684,0.05614693,1.0,0.06409837,0.20005727,0.061015163,
127_0,0.1714114062860608,0.08638406,0.07045412,-0.099852435,0.04949368,1.0,0.060474247,0.1690358,0.04273225,
128_0,0.17912840086594226,0.08738475,0.07123845,-0.07231124,0.05482169,1.0,0.06336814,0.17063151,0.051549155,
125_0,0.15688448606207966,0.083787665,0.06701931,-0.1353811,0.041109506,1.0,0.05398327,0.15808229,0.039486762,
124_0,0.22017654767408967,0.094038,0.078838296,0.018147059,0.072076865,1.0,0.069507524,0.20149069,0.11056294,
253_0,0.3049347073301673,0.11145545,0.103179455,0.089528054,0.11832506,0.0,0.09887919,0.21157874,0.2197736,
252_0,0.31325221236348155,0.10958929,0.10388265,0.09748579,0.12514059,0.0,0.102909,0.22447956,0.21211965,
